’ā’ar		m/f		add(pl: os), add(pl: ’s), add(pl: s)
’avā		m		masc-sing, insert(pl: ah: masc-pl), insert(pl: ah: fem-pl)
’agorsā   m		insert(emph-pl: ān: masc-pl), insert(emph-pl: yān: masc-pl), masc-pl
’eḏnā		f		masc-sing, masc-pl, fem-pl, insert(pl: ah: fem-pl)
’umṯā	  m/f		fem-sing, irr(pl: [’emṯawwān: ’emṯawwāṯ: ’emṯawwāṯā]), insert(pl: aw: fem-pl)
’ewangelyon   m	  replace(pl: on: masc-pl), masc-pl
’oqeyānos   m		delete(pl: s)
’orgānon    m		replace(pl: on: masc-pl)
’urḥā   f		masc-sing, fem-pl
’oryā   m	  masc-sing, fem-pl
’urqa‘ṯā    f   fem-sing, fem-pl, irr(pl: [ruq‘in: ruq‘ay: ruq‘ē])
’aḥyāntā    f   fem-sing, fem-pl, insert(pl: y: fem-pl)
’iḏā    f   irr(sing: [yaḏ: yaḏ: ’iḏā]), masc-pl, irr(emph-pl: ’iḏayyā), insert(pl: aw: fem-pl), insert(pl: ah: fem-pl)
’imāmā    m   masc-sing, masc-pl, insert(pl: aw: fem-pl)
’ison   m   replace(pl: on: masc-pl)
’āḵlos    m   delete(pl: s)
’elfā   m/f    masc-pl
’alpā   m   shift(pl: p: f: masc-pl), irr(emph-pl: alfayyā)
’emmā   f   masc-sing, insert(pl: ah: fem-pl), insert(pl: ah: masc-pl)
’amuṯisṭos    m   delete(pl: s)
’amzartā    m   masc-sing, masc-pl
’amirā    m   masc-sing, insert(emph-pl: ān: masc-pl), masc-pl
’amṯā   f   masc-sing, insert(pl: ah: fem-pl)
’ammṯā    f   fem-sing, masc-pl
’anpā   m   masc-sing, masc-pl
’anpā   f   masc-sing, masc-pl, emph_pl(-yyā)
’enāšā    m   masc-sing, masc-pl(emph_sing)
’antṯā    f   fem-sing, irr(pl: [nešin: nešay: nešē])
’esṭwā    m   masc-sing, add(emph-pl: as)
’esṭuksā    m   masc-sing, masc-pl, replace(pl: s: masc-pl)
’esṭrāṭ   m/f   add(pl: os)
’asyā   m   irr(sing: [’asē: ’asē: ’asyā]), irr(pl: [’asawwān: ’asawwāṯ: ’asawwāṯā])
’espeyrā    f   masc-sing, masc-pl
’espeyrā    m   masc-sing, masc-pl, add(emph-pl: as)
’esqafṯā    f   fem-sing, fem-pl, insert(pl: y: fem-pl), insert(pl: aw: fem-pl)
’esṯā   f   fem-sing, masc-pl
’asetā    f   masc-sing, masc-pl
’arḥā   m   masc-sing, masc-pl
’arḥā   f   masc-sing, fem-pl
’aryā   m   masc-sing, insert(pl: aw: fem-pl)
’ar‘ā   f   masc-sing, fem-pl
’eškṯa    f   fem-sing, masc-pl, fem-pl
’eššāṯā    f   fem-sing, insert(pl: aw: fem-pl)
’eštā   f   irr(sing: [’eššaṯ: šet: ’eštā]), insert(pl: y: fem-pl), insert(pl: t: fem-pl)
’aṯā    f   masc-sing, insert(pl: aw: fem-pl)
’āṯallyā    f   masc-sing, insert(pl: aw: fem-pl)
’aṯrā   m   masc-sing, insert(pl: aw: fem-pl)
b’ērā   f   masc-sing, insert(pl: aw: fem-pl), masc-pl, fem-pl
bērā   f   masc-sing, insert(pl: aw: fem-pl), masc-pl, fem-pl
brā   m   irr(sing: [bar: bar: brā]), irr(pl: [bnin: bnay: bnayyā])
bāvtā   f   fem-sing, fem-pl, insert(pl: aw: fem-pl), insert(pl: y: fem-pl)
burkā   f   masc-sing, masc-pl, fem-pl
bezzṯā    f   masc-sing, masc-pl
biztā   f   fem-sing, fem-pl, insert(pl: y: fem-pl)
bistā   f   fem-sing, fem-pl, insert(pl: y: fem-pl)
beṭmṯā    f   fem-sing, masc-pl
bivā    m   masc-sing, insert(pl: aw: fem-pl)
bē‘ṯā   f   fem-sing, masc-pl, fem-pl
baytā   m/f    irr(sing: [bē: bēṯ: baytā]), irr(sing: [bē: bē: baytā]), irr(sing: [by: byt: byt’]), irr(sing: [by: by: baytā]), irr(pl: [bāttin: bāttay: bāttē])
bālo‘tā   f   fem-sing, fem-pl, insert(pl: y: fem-pl)
bandā   f   masc-sing, masc-pl, add(emph-pl: os), add(emph-pl: as)
bessāḏyā    m   irr(pl: [bessāḏwān: bessāḏwāṯ: bessāḏwāṯā]), masc-pl(emph-pl)
besmā   m   masc-sing, masc-pl, insert(emph-pl: ān: masc-pl), insert(emph-pl: on: masc-pl)
besrā   m   masc-sing, masc-pl, insert(emph-pl: ān: masc-pl)
bronā   m   masc-sing, irr(pl: [bnayonin: bnayonay: bnayonē])
broṯā   m   masc-sing, masc-pl
barṯā   f   fem-sing, irr(pl: [bnān: bnāṯ: bnāṯā])
